"";"Run No.";"Current Normal Cost";"Current Salary";"Current AAL";"Current ARC";"Expected value of annuity";"Retirement Annuity";"Replacement Rate";"Entry Age";"Retirement Age";"Current Age";"Funding Level(%)";"Discount Rate(%)";"Salary growth rate(%)";"Inflation Rate(%)";"Payroll Growth Rate(%)";"COLA (%)";"AFC";"Benefit Factor(%)";"Cost Method";"Mortality Table";"Vesting Period";"Amortization Period"
"48";23;0,630088486150085;2,09377792965421;22,3019152641138;0,630088486150085;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"49";23;0;0;20,8562257172567;0,185035296657538;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"50";23;0;0;19,3652987733074;0,1718078741551;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"51";23;0;0;17,9545930523993;0,159292169966651;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"52";23;0;0;16,6205179974773;0,147456328865896;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"53";23;0;0;15,359676835375;0,136270214866631;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"54";23;0;0;14,1688579205248;0,125705334424606;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"55";23;0;0;13,0450234739833;0,115734736530773;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"56";23;0;0;11,9853029185366;0,106332953580711;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"57";23;0;0;10,9869837167707;0,0974759200904746;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"58";23;0;0;10,0475027175063;0,0891408959226462;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"59";23;0;0;9,16443681661631;0,0813063834296147;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"60";23;0;0;8,33549342913894;0,0739520429226807;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"61";23;0;0;7,55849950928308;0,067058595258146;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"62";23;0;0;6,83139173271311;0,0606077347350788;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"63";23;0;0;6,15220803097804;0,0545820539892318;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"64";23;0;0;5,51907914172568;0,0489649690270023;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"65";23;0;0;4,93022198118754;0,0437406604264804;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"66";23;0;0;4,38393287702997;0,0388940132996736;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"67";23;0;0;3,87858244384595;0,0344105718281493;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"68";23;0;0;3,41260916909085;0,0302764823578069;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
